strain	virus	genbank_accession	date	region	iso	country	division	location	segment	length	host	lab
EU920843	Dengue virus DENV-2	EU920843	2005-11-XX	Caribbean	MTQ	Martinique			complete	10647.0		
EU920839	Dengue virus DENV-2	EU920839	2005-09-XX	Caribbean	MTQ	Martinique			complete	10711.0		
EU920841	Dengue virus DENV-2	EU920841	2005-10-XX	Caribbean	MTQ	Martinique			complete	10665.0		
HM171554	Dengue virus 	HM171554	2007-XX-XX	Mexico	MEX	Mexico	MEX/Ocosingo	Chiapas	partial	1441.0	Homo sapiens	
KY851526	Dengue virus 	KY851526	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851527	Dengue virus 	KY851527	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
HM171553	Dengue virus 	HM171553	2005-XX-XX	Mexico	MEX	Mexico	MEX/Mazatlan	Sinaloa	partial	1441.0	Homo sapiens	
HM171552	Dengue virus 	HM171552	2005-XX-XX	Mexico	MEX	Mexico	MEX/Doctor Arroyo	Nuevo Leon	partial	1441.0	Homo sapiens	
KM279421	Dengue virus 2	KM279421	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KM279422	Dengue virus 2	KM279422	2012-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KM279423	Dengue virus 2	KM279423	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KM279424	Dengue virus 2	KM279424	2012-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KM279425	Dengue virus 2	KM279425	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KM279426	Dengue virus 2	KM279426	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
HM171555	Dengue virus 	HM171555	2002-XX-XX	Mexico	MEX	Mexico	MEX/Tapachula	Chiapas	partial	1441.0	Homo sapiens	
HM171556	Dengue virus 	HM171556	2004-XX-XX	Mexico	MEX	Mexico	MEX/Ciudad Madero	Tamaulipas	partial	1441.0	Homo sapiens	
KY851529	Dengue virus 	KY851529	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851517	Dengue virus 	KY851517	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851519	Dengue virus 	KY851519	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851525	Dengue virus 	KY851525	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851524	Dengue virus 	KY851524	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851533	Dengue virus 	KY851533	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
FJ898438	Dengue virus 	FJ898438	2002-XX-XX	Mexico	MEX	Mexico	MEX/Nayarit		complete	10665.0	Homo sapiens	
KY851521	Dengue virus 	KY851521	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
FJ898439	Dengue virus 	FJ898439	2008-XX-XX	Mexico	MEX	Mexico	MEX/Chiapas		complete	10680.0	Homo sapiens	
KY851523	Dengue virus 	KY851523	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851532	Dengue virus 	KY851532	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851531	Dengue virus 	KY851531	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851522	Dengue virus 	KY851522	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851528	Dengue virus 	KY851528	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851530	Dengue virus 	KY851530	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851516	Dengue virus 	KY851516	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851518	Dengue virus 	KY851518	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851535	Dengue virus 	KY851535	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY882533	Dengue virus 	KY882533	2013-XX-XX	Mexico	MEX	Mexico			partial	1656.0	Homo sapiens	
KY882534	Dengue virus 	KY882534	2012-XX-XX	Mexico	MEX	Mexico			partial	1962.0	Homo sapiens	
KY882535	Dengue virus 	KY882535	2013-XX-XX	Mexico	MEX	Mexico			partial	1962.0	Homo sapiens	
KY882536	Dengue virus 	KY882536	2012-XX-XX	Mexico	MEX	Mexico			partial	1962.0	Homo sapiens	
FJ931535	Dengue virus 2	FJ931535	2005-XX-XX	Mexico	MEX	Mexico	MEX/Cerro del Tepezcouintle	Oaxaca	partial	1485.0	Homo sapiens	
GU131959	Dengue virus 	GU131959	2006-XX-XX	Mexico	MEX	Mexico	MEX/Yucatan		complete	10628.0	Homo sapiens	
GU131974	Dengue virus 	GU131974	2007-XX-XX	Mexico	MEX	Mexico	MEX/Yucatan		complete	10667.0	Homo sapiens	
GU369819	Dengue virus 	GU369819	2002-08-22	Mexico	MEX	Mexico			complete	10521.0	Homo sapiens	
GU131975	Dengue virus 	GU131975	2007-XX-XX	Mexico	MEX	Mexico	MEX/Yucatan		complete	10668.0	Homo sapiens	
GQ868497	Dengue virus 	GQ868497	2006-XX-XX	Mexico	MEX	Mexico	MEX/Yucatan		complete	10664.0	Homo sapiens	
GQ868515	Dengue virus 	GQ868515	2007-XX-XX	Mexico	MEX	Mexico	MEX/Yucatan		complete	10671.0	Homo sapiens	
GQ868516	Dengue virus 	GQ868516	2007-XX-XX	Mexico	MEX	Mexico	MEX/Yucatan		complete	10673.0	Homo sapiens	
GQ199894	Dengue virus 	GQ199894	2005-XX-XX	Mexico	MEX	Mexico	MEX/Hidalgo		complete	10669.0	Homo sapiens	
GQ199893	Dengue virus 	GQ199893	2002-XX-XX	Mexico	MEX	Mexico	MEX/Oaxaca		complete	10679.0	Homo sapiens	
GU131955	Dengue virus 	GU131955	2004-XX-XX	Mexico	MEX	Mexico	MEX/Quintana Roo		complete	10523.0	Homo sapiens	
KY851534	Dengue virus 	KY851534	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851553	Dengue virus 	KY851553	2011-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851551	Dengue virus 	KY851551	2011-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851536	Dengue virus 	KY851536	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851537	Dengue virus 	KY851537	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KM279427	Dengue virus 2	KM279427	2012-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KY851538	Dengue virus 	KY851538	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851539	Dengue virus 	KY851539	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851540	Dengue virus 	KY851540	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851541	Dengue virus 	KY851541	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851552	Dengue virus 	KY851552	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851542	Dengue virus 	KY851542	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851544	Dengue virus 	KY851544	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851545	Dengue virus 	KY851545	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851546	Dengue virus 	KY851546	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851547	Dengue virus 	KY851547	2011-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851548	Dengue virus 	KY851548	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851549	Dengue virus 	KY851549	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851550	Dengue virus 	KY851550	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KY851543	Dengue virus 	KY851543	2012-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KM279428	Dengue virus 2	KM279428	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KY851520	Dengue virus 	KY851520	2013-XX-XX	Mexico	MEX	Mexico			partial	1983.0	Homo sapiens	
KM279430	Dengue virus 2	KM279430	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
MH936419	Dengue virus DENV2	MH936419	2016-10-12	Mexico	MEX	Mexico	MEX/Quintana Roo		partial	1479.0	Homo sapiens	
HM171548	Dengue virus 	HM171548	2003-XX-XX	Mexico	MEX	Mexico	MEX/Huatabampo	Sonora	partial	1441.0	Homo sapiens	
HM171547	Dengue virus 	HM171547	2003-XX-XX	Mexico	MEX	Mexico	MEX/Cosala	Sinaloa	partial	1441.0	Homo sapiens	
HM171546	Dengue virus 	HM171546	2003-XX-XX	Mexico	MEX	Mexico	MEX/Tlayacapan	Morelos	partial	1441.0	Homo sapiens	
HM171545	Dengue virus 	HM171545	2003-XX-XX	Mexico	MEX	Mexico	MEX/La Paz	Baja California Sur	partial	1441.0	Homo sapiens	
HM171544	Dengue virus 	HM171544	2002-XX-XX	Mexico	MEX	Mexico			partial	1441.0	Homo sapiens	
HM171543	Dengue virus 	HM171543	2002-XX-XX	Mexico	MEX	Mexico	MEX/Apodaca	Nuevo Leon	partial	1441.0	Homo sapiens	
KJ189309	Dengue virus 	KJ189309	2010-XX-XX	Mexico	MEX	Mexico			complete	10300.0	Culicidae	
HM171542	Dengue virus 	HM171542	2002-XX-XX	Mexico	MEX	Mexico	MEX/Jiutepec	Morelos	partial	1441.0	Homo sapiens	
KJ189311	Dengue virus 	KJ189311	2007-XX-XX	Mexico	MEX	Mexico			complete	10715.0	Homo sapiens	
KJ189370	Dengue virus 	KJ189370	2011-XX-XX	Mexico	MEX	Mexico			complete	10481.0	Homo sapiens	
KM279429	Dengue virus 2	KM279429	2011-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
KF955356	Dengue virus 	KF955356	2005-XX-XX	Mexico	MEX	Mexico			partial	9483.0	Homo sapiens	
MH936420	Dengue virus DENV2	MH936420	2018-05-17	Mexico	MEX	Mexico	MEX/Chiapas		partial	1479.0	Homo sapiens	
HM171541	Dengue virus 	HM171541	2002-XX-XX	Mexico	MEX	Mexico	MEX/Amatepec	Estado de Mexico	partial	1441.0	Homo sapiens	
KJ189308	Dengue virus 	KJ189308	2009-XX-XX	Mexico	MEX	Mexico			complete	10477.0	Culicidae	
KJ189310	Dengue virus 	KJ189310	2007-XX-XX	Mexico	MEX	Mexico			complete	10520.0	Homo sapiens	
MH781013	Dengue virus 2	MH781013	2012-XX-XX	Mexico	MEX	Mexico			complete	10651.0	Aedes aegypti	
HM171551	Dengue virus 	HM171551	2005-XX-XX	Mexico	MEX	Mexico	MEX/Huautla	Oaxaca	partial	1441.0	Homo sapiens	
HM171550	Dengue virus 	HM171550	2005-XX-XX	Mexico	MEX	Mexico	MEX/Frontera	Tabasco	partial	1441.0	Homo sapiens	
HM171549	Dengue virus 	HM171549	2003-XX-XX	Mexico	MEX	Mexico	MEX/Playa Vicente	Veracruz	partial	1441.0	Homo sapiens	
JF804035	Dengue virus 2	JF804035	2002-XX-XX	Mexico	MEX	Mexico			partial	1485.0	Homo sapiens	
JN819422	Dengue virus 	JN819422	2008-XX-XX	Mexico	MEX	Mexico	MEX/Tapachula		complete	10519.0	Homo sapiens	
KF955394	Dengue virus 	KF955394	2007-XX-XX	Mexico	MEX	Mexico			partial	6871.0	Homo sapiens	
KF955395	Dengue virus 	KF955395	2007-XX-XX	Mexico	MEX	Mexico			complete	10649.0	Homo sapiens	
MH936418	Dengue virus DENV2	MH936418	2018-05-24	Mexico	MEX	Mexico	MEX/Nayarit		partial	1479.0	Homo sapiens	
MH781015	Dengue virus 2	MH781015	2012-XX-XX	Mexico	MEX	Mexico			complete	10705.0	Aedes aegypti	
MH781014	Dengue virus 2	MH781014	2012-XX-XX	Mexico	MEX	Mexico			complete	10617.0	Aedes aegypti	
KF955393	Dengue virus 	KF955393	2007-XX-XX	Central America	NIC	Nicaragua			partial	7047.0	Homo sapiens	
GQ199866	Dengue virus 	GQ199866	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10670.0	Homo sapiens	
EU482692	Dengue virus 	EU482692	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
KF955392	Dengue virus 	KF955392	2007-XX-XX	Central America	NIC	Nicaragua			partial	6999.0	Homo sapiens	
KF955384	Dengue virus 	KF955384	2001-XX-XX	Central America	NIC	Nicaragua			partial	7047.0	Homo sapiens	
KF955383	Dengue virus 	KF955383	2001-XX-XX	Central America	NIC	Nicaragua			partial	7510.0	Homo sapiens	
KF955387	Dengue virus 	KF955387	2007-XX-XX	Central America	NIC	Nicaragua			partial	7005.0	Homo sapiens	
KF955388	Dengue virus 	KF955388	2001-XX-XX	Central America	NIC	Nicaragua			partial	7043.0	Homo sapiens	
KF955391	Dengue virus 	KF955391	2001-XX-XX	Central America	NIC	Nicaragua			partial	7000.0	Homo sapiens	
KF955390	Dengue virus 	KF955390	1999-XX-XX	Central America	NIC	Nicaragua			partial	6144.0	Homo sapiens	
GQ199868	Dengue virus 	GQ199868	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
GQ199605	Dengue virus 	GQ199605	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		partial	8585.0	Homo sapiens	
GQ199874	Dengue virus 	GQ199874	2004-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10667.0	Homo sapiens	
KF955389	Dengue virus 	KF955389	2006-XX-XX	Central America	NIC	Nicaragua			partial	6155.0	Homo sapiens	
GQ199869	Dengue virus 	GQ199869	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
HQ541787	Dengue virus 	HQ541787	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10498.0	Homo sapiens	
GQ868604	Dengue virus 	GQ868604	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
KF955382	Dengue virus 	KF955382	2001-XX-XX	Central America	NIC	Nicaragua			partial	7485.0	Homo sapiens	
HQ541794	Dengue virus 	HQ541794	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10476.0	Homo sapiens	
HQ634199	Dengue virus 	HQ634199	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10479.0	Homo sapiens	
HQ705624	Dengue virus 	HQ705624	2009-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10479.0	Homo sapiens	
HQ705625	Dengue virus 	HQ705625	2009-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10494.0	Homo sapiens	
HQ733861	Dengue virus 	HQ733861	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10731.0	Homo sapiens	
HQ541793	Dengue virus 	HQ541793	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10485.0	Homo sapiens	
JX079695	Dengue virus 	JX079695	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		partial	8629.0	Homo sapiens	
JX079696	Dengue virus 	JX079696	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		partial	8767.0	Homo sapiens	
HQ541792	Dengue virus 	HQ541792	2008-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10477.0	Homo sapiens	
HQ541788	Dengue virus 	HQ541788	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10487.0	Homo sapiens	
EU569694	Dengue virus 	EU569694	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482693	Dengue virus 	EU482693	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10673.0	Homo sapiens	
HQ541786	Dengue virus 	HQ541786	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10694.0	Homo sapiens	
KF955400	Dengue virus 	KF955400	2005-XX-XX	Central America	NIC	Nicaragua			partial	9882.0	Homo sapiens	
GQ868646	Dengue virus 	GQ868646	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10678.0	Homo sapiens	
KF955381	Dengue virus 	KF955381	2001-XX-XX	Central America	NIC	Nicaragua			partial	7241.0	Homo sapiens	
KF955361	Dengue virus 	KF955361	2005-XX-XX	Central America	NIC	Nicaragua			partial	7037.0	Homo sapiens	
KF955379	Dengue virus 	KF955379	2001-XX-XX	Central America	NIC	Nicaragua			partial	7473.0	Homo sapiens	
JF357907	Dengue virus 	JF357907	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10477.0	Homo sapiens	
JF357906	Dengue virus 	JF357906	2008-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10783.0	Homo sapiens	
JF357905	Dengue virus 	JF357905	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10669.0	Homo sapiens	
HQ541805	Dengue virus 	HQ541805	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		partial	10140.0	Homo sapiens	
JF730052	Dengue virus 	JF730052	2009-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10477.0	Homo sapiens	
JF730051	Dengue virus 	JF730051	2009-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10477.0	Homo sapiens	
HM631865	Dengue virus 	HM631865	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
HM631866	Dengue virus 	HM631866	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
HM631867	Dengue virus 	HM631867	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
HM631868	Dengue virus 	HM631868	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482691	Dengue virus 	EU482691	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482757	Dengue virus 	EU482757	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10675.0	Homo sapiens	
EU482758	Dengue virus 	EU482758	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482759	Dengue virus 	EU482759	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482761	Dengue virus 	EU482761	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482762	Dengue virus 	EU482762	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10678.0	Homo sapiens	
EU482763	Dengue virus 	EU482763	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482766	Dengue virus 	EU482766	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482769	Dengue virus 	EU482769	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482770	Dengue virus 	EU482770	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10678.0	Homo sapiens	
EU482771	Dengue virus 	EU482771	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482772	Dengue virus 	EU482772	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482773	Dengue virus 	EU482773	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
JN819424	Dengue virus 	JN819424	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Carazo		complete	10679.0	Homo sapiens	
JN819421	Dengue virus 	JN819421	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10403.0	Homo sapiens	
JN819420	Dengue virus 	JN819420	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10487.0	Homo sapiens	
JN819416	Dengue virus 	JN819416	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10667.0	Homo sapiens	
EU482760	Dengue virus 	EU482760	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
KF955380	Dengue virus 	KF955380	2001-XX-XX	Central America	NIC	Nicaragua			partial	7537.0	Homo sapiens	
KF955378	Dengue virus 	KF955378	2001-XX-XX	Central America	NIC	Nicaragua			partial	7038.0	Homo sapiens	
KF955377	Dengue virus 	KF955377	2006-XX-XX	Central America	NIC	Nicaragua			partial	7548.0	Homo sapiens	
KF955376	Dengue virus 	KF955376	2006-XX-XX	Central America	NIC	Nicaragua			partial	7531.0	Homo sapiens	
KF955375	Dengue virus 	KF955375	2006-XX-XX	Central America	NIC	Nicaragua			partial	7259.0	Homo sapiens	
KF955369	Dengue virus 	KF955369	2007-XX-XX	Central America	NIC	Nicaragua			complete	10651.0	Homo sapiens	
KF955367	Dengue virus 	KF955367	2007-XX-XX	Central America	NIC	Nicaragua			partial	6737.0	Homo sapiens	
EU482694	Dengue virus 	EU482694	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482695	Dengue virus 	EU482695	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10670.0	Homo sapiens	
EU482696	Dengue virus 	EU482696	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10666.0	Homo sapiens	
EU482748	Dengue virus 	EU482748	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10681.0	Homo sapiens	
EU482749	Dengue virus 	EU482749	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482750	Dengue virus 	EU482750	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482752	Dengue virus 	EU482752	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482753	Dengue virus 	EU482753	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10677.0	Homo sapiens	
EU482754	Dengue virus 	EU482754	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10668.0	Homo sapiens	
EU482755	Dengue virus 	EU482755	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482756	Dengue virus 	EU482756	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
KF955366	Dengue virus 	KF955366	2007-XX-XX	Central America	NIC	Nicaragua			complete	10658.0	Homo sapiens	
KF955362	Dengue virus 	KF955362	2005-XX-XX	Central America	NIC	Nicaragua			complete	10740.0	Homo sapiens	
KF955354	Dengue virus 	KF955354	2001-XX-XX	Central America	NIC	Nicaragua			partial	6670.0	Homo sapiens	
KF955352	Dengue virus 	KF955352	2001-XX-XX	Central America	NIC	Nicaragua			partial	9182.0	Homo sapiens	
KF955351	Dengue virus 	KF955351	2001-XX-XX	Central America	NIC	Nicaragua			partial	3249.0	Homo sapiens	
KF955345	Dengue virus 	KF955345	2000-XX-XX	Central America	NIC	Nicaragua			partial	6991.0	Homo sapiens	
EU482751	Dengue virus 	EU482751	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482690	Dengue virus 	EU482690	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU569693	Dengue virus 	EU569693	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
FJ744745	Dengue virus 	FJ744745	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Masaya		complete	10679.0	Homo sapiens	
FJ850120	Dengue virus 	FJ850120	2001-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ850121	Dengue virus 	FJ850121	2001-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ744709	Dengue virus 	FJ744709	2008-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10640.0	Homo sapiens	
FJ744703	Dengue virus 	FJ744703	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10673.0	Homo sapiens	
FJ744704	Dengue virus 	FJ744704	2001-XX-XX	Central America	NIC	Nicaragua	NIC/Leon		complete	10664.0	Homo sapiens	
EU482621	Dengue virus 	EU482621	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
FJ744705	Dengue virus 	FJ744705	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Leon		complete	10669.0	Homo sapiens	
EU482620	Dengue virus 	EU482620	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482603	Dengue virus 	EU482603	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ744706	Dengue virus 	FJ744706	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482602	Dengue virus 	EU482602	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482601	Dengue virus 	EU482601	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10680.0	Homo sapiens	
EU482600	Dengue virus 	EU482600	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482599	Dengue virus 	EU482599	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482598	Dengue virus 	EU482598	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482597	Dengue virus 	EU482597	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
EU482444	Dengue virus 	EU482444	2006-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ850119	Dengue virus 	FJ850119	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10678.0	Homo sapiens	
FJ850118	Dengue virus 	FJ850118	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ850117	Dengue virus 	FJ850117	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ850116	Dengue virus 	FJ850116	2007-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10660.0	Homo sapiens	
FJ850053	Dengue virus 	FJ850053	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ850054	Dengue virus 	FJ850054	2005-XX-XX	Central America	NIC	Nicaragua	NIC/Managua		complete	10679.0	Homo sapiens	
FJ850060	Dengue virus 	FJ850060	2000-XX-XX	Central America	NIC	Nicaragua	NIC/Leon		complete	10729.0	Homo sapiens	
